PROVINCIA,POB2016,POB2017,POB2018,POB2019,POB2020,TotalPob
Albacete,392118,390032,388786,388167,388270,389474.6
Alicante/Alacant,1836459,1825332,1838819,1858683,1879888,1847836.2
Almería,704297,706672,709340,716820,727945,713014.8
Araba/Álava,324126,326574,328868,331549,333940,329011.4
Asturias,1042608,1034960,1028244,1022800,1018784,1029479.2
Badajoz,684113,679884,676376,673559,672137,677213.8
"Balears, Illes",1107220,1115999,1128908,1149460,1171543,1134626.0
Barcelona,5542680,5576037,5609350,5664579,5743402,5627209.6
Bizkaia,1147576,1148302,1149628,1152651,1159443,1151520.0
Burgos,360995,358171,357070,356958,357650,358168.8
Cantabria,582206,580295,580229,581078,582905,581342.6
Castellón/Castelló,579245,575470,576898,579962,585590,579433.0
Ceuta,84519,84959,85144,84777,84202,84720.2
Ciudad Real,506888,502578,499100,495761,495045,499874.4
"Coruña, A",1122799,1120294,1119351,1119596,1121815,1120771.0
Cuenca,201071,198718,197222,196329,196139,197895.8
Cáceres,403665,400036,396487,394151,391850,397237.8
Cádiz,1239889,1239435,1238714,1240155,1244049,1240448.4
Córdoba,791610,788219,785240,782979,781451,785899.8
Gipuzkoa,717832,719282,720592,723576,727121,721680.6
Girona,753576,755716,761947,771044,781788,764814.2
Granada,915392,912938,912075,914678,919168,914850.2
Guadalajara,252882,253310,254308,257762,261995,256051.4
Huelva,519596,518930,519932,521870,524278,520921.2
Huesca,221079,219702,219345,220461,222687,220654.8
Jaén,648250,643484,638099,633564,631381,638955.6
León,473604,468316,463746,460001,456439,464421.2
Lleida,434041,432384,432866,434930,438517,434547.6
Lugo,336527,333634,331327,329587,327946,331804.2
Madrid,6466996,6507184,6578079,6663394,6779888,6599108.2
Melilla,86026,86120,86384,86487,87076,86418.6
Murcia,1464847,1470273,1478509,1493898,1511251,1483755.6
Málaga,1629298,1630615,1641121,1661785,1685920,1649747.8
Navarra,640647,643234,647554,654214,661197,649369.2
Ourense,314853,311680,309293,307651,306650,310025.4
Palencia,164644,163390,162035,160980,160321,162274.0
"Palmas, Las",1097800,1100480,1109175,1120406,1131065,1111785.2
Pontevedra,944346,942731,941772,942665,945408,943384.4
"Rioja, La",315794,315381,315675,316798,319914,316712.4
Salamanca,335985,333603,331473,330119,329245,332085.0
Santa Cruz de Tenerife,1004124,1007641,1018510,1032983,1044887,1021629.0
Segovia,155652,154184,153342,153129,153478,153957.0
Sevilla,1939775,1939527,1939887,1942389,1950219,1942359.4
Soria,90040,88903,88600,88636,88884,89012.6
Tarragona,792299,791693,795902,804664,816772,800266.0
Teruel,136977,135562,134572,134137,134176,135084.8
Toledo,688672,686841,687391,694844,703772,692304.0
Valencia/València,2544264,2540707,2547986,2565124,2591875,2557991.2
Valladolid,523679,521130,519851,519546,520649,520971.0
Zamora,180406,177404,174549,172539,170588,175097.2
Zaragoza,950507,953486,954811,964693,972528,959205.0
Ávila,162514,160700,158498,157640,157664,159403.2
